"site.plot","date","observers","plot_size","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","notes"
"SS50-200-5","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"SS50-200-6","2019-08-18","CW, SR, PS, MB","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-10-1","2019-08-15","CW, SR, PS","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-10-2","2019-08-15","CW, SR, PS","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-10-3","2019-08-15","CW, SR, PS","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-10-4","2019-08-15","CW, SR, PS","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-10-5","2019-08-15","CW, SR, PS","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-10-6","2019-08-15","CW, SR, PS","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-105-1","2019-08-16","SR, CW","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-105-2","2019-08-16","SR, CW","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-105-3","2019-08-16","SR, CW","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-105-4","2019-08-16","SR, CW","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-105-5","2019-08-16","SR, CW","10x10",">100",">100",">100",">100",">100",">100",""
"ZF20-105-6","2019-08-16","SR, CW","10x10",">100",">100",">100",">100",">100",">100",""
"ZF14-10-1","2019-08-15","LBC","10x10","62","87",">100",">100",">100",">100","sample 2 = rock"
"ZF14-10-2","2019-08-15","LBC","10x10",">100",">100",">100",">100",">100",">100",""
"ZF14-10-3","2019-08-15","LBC","10x10","91","90",">100","101","83",">100",""
"ZF14-10-4","2019-08-15","LBC","10x10","59","87","51","79","91","66",""
"ZF14-10-5","2019-08-15","LBC","10x10","89",">100","78","84","93",">100",""
"ZF14-10-6","2019-08-15","LBC","10x10","76",">100",">100",">100","92",">100",""
"ZF14-17-1","2019-08-14","LBC, DU","10x10","52","40","16","92",">100","87","samples 4, 5, and 6 = between hummocks"
"ZF14-17-2","2019-08-14","LBC, DU","10x10","15","50","57","45","67","54","samples 1 and 2 = hummock; sample 5 = crevice hollow"
"ZF14-17-3","2019-08-14"," LBC","10x10","80","21","33","60","52","30","samples 1,  4, and 5 = crevice; samples 2 and 3 = hummock earth; sample 6 = hummock"
"ZF14-17-4","2019-08-14","LBC","10x10","26","54","39","31",">100","20","samples 1, 3, 4, and 6 = hummock; samples 2 and 5 = crevice"
"ZF14-40-1","2019-08-15","LBC, DU, HS","10x10",">100",">100",">100",">100",">100",">100",""
"ZF14-40-2","2019-08-15","LBC","10x10",">100","86",">100","86",">100","95",""
"ZF14-40-3","2019-08-15","LBC","10x10",">100",">100",">100","-9999","-9999","-9999",""
"ZF14-41-1","2019-08-15","LBC, DU, HS","10x10","51",">100","72",">100","-9999","-9999","sample 3 = rock; sample 5 and 6 = bear 50m from plot"
"ZF14-200-1","2019-08-20","LBC","10x10","-9999","-9999","-9999","-9999","-9999","-9999","37cm peat depth"
"ZF14-200-2","2019-08-20","LBC","10x10","-9999","-9999","-9999","-9999","-9999","-9999","33cm peat depth"
"ZF14-200-3","2019-08-20","LBC","10x10","-9999","-9999","-9999","-9999","-9999","-9999","60cm peat depth"
"ZF14-200-4","2019-08-20","LBC","10x10","-9999","-9999","-9999","-9999","-9999","-9999","49cm peat depth"
"ZF14-200-5","2019-08-20","LBC","10x10","-9999","-9999","-9999","-9999","-9999","-9999","35cm peat depth"
"ZF14-200-6","2019-08-20","LBC","10x10","-9999","-9999","-9999","-9999","-9999","-9999","48 cm peat depth"
"ZF14-210-1","2019-08-17","LBC","10x10","29","59","18","32","20","28","samples 1, 3, and 5 = ice, hummock; samples 2, 4, 6 = rock, crevice"
"ZF14-210-2","2019-08-17","LBC","10x10","25",">100","20","19",">100",">100","most trees growing in crevices; samples 1, 3, and 4 = ice, hummock; sample 2 = hollow; samples 5 and 6 = crevice"
"ZF14-210-3","2019-08-17","LBC","10x10","20","53",">100",">100","63","91","very earth hummocky site with deep peat crevices between; samples 1, 2, and 5 = ice, hummock; samples 3 and 4 = hollow; sample 6 = ice, crevice"
"ZF14-210-4","2019-08-17","LBC","10x10","20",">100","89","27","88",">100","samples 1, 4, and 5 = ice, hummock; samples 2 and 6 = hollow; samples 3 and 7 = ice, hollow"
"ZF14-210-5","2019-08-17","LBC","10x10","81",">100","81","69","66","84","samples 1, 4, and 6 = hummock; samples 2, 3, and 5 = hollow"
"ZF14-210-6","2019-08-17","LBC","10x10","29",">100","17","29",">100",">100","samples 1, 3, and 4 = hummock; samples 2, 5, and 6 = hollow"
"ZF17-1-1","2019-08-16","LBC","10x10","53","56","46","65","64","66",""
"ZF17-1-2","2019-08-16","LBC","10x10","44","46","49","45","41","45",""
"ZF17-7-1","2019-08-18","","10x10","73","69","66","78","64","54","samples 1 and 2 = ice"
"ZF17-7-2","2019-08-18","LBC","10x10",">100","57","55","74","66","64",""
"ZF17-7-3","2019-08-18","LBC","10x10",">100",">100","91",">100","63","71",""
"ZF17-7-4","2019-08-18","LBC","10x10","75","74","81","69","65","64",""
"ZF17-7-5","2019-08-18","LBC","10x10","75","86","63","69","73","84",""
"ZF17-7-6","2019-08-18","LBC","10x10","70","102","101",">100","87","89",""
"ZF17-9-1","2019-08-17","LBC, DU, HS","10x10","50","43","43","52","46","51",""
"ZF17-9-2","2019-08-17","LBC","10x10","60","68","79","48","58","99",""
"ZF17-9-3","2019-08-17","LBC","10x10","47","48","46","52","53","42",""
"ZF17-9-4","2019-08-17","LBC","10x10","59","28","48","82","69","59","samples 2 and 3 = rock"
"ZF17-40-1","2019-08-15","LBC, HS, DU","10x10","100",">100","95","83","90","81",""
"ZF17-40-2","2019-08-15","LBC, HS, DU","10x10",">100",">100",">100",">100",">100",">100",""
